<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUAL;D;18/10/24;000000;34.53;34.875;34.13;34.42;8727100
RUAL;D;19/10/24;000000;34.49;34.685;34.115;34.465;5803970
RUAL;D;22/10/24;000000;34.365;34.675;33.91;33.935;8209730
RUAL;D;23/10/24;000000;33.935;34.825;33.7;34.41;10899270
RUAL;D;24/10/24;000000;34.45;35.78;34.255;34.84;37458000
RUAL;D;25/10/24;000000;34.85;35.215;34.3;34.79;23025250
RUAL;D;26/10/24;000000;34.78;35.1;33.8;34.41;19251150
RUAL;D;29/10/24;000000;33.985;34.2;33.05;33.405;18660590
RUAL;D;30/10/24;000000;33.51;34.09;33.175;33.715;34606670
RUAL;D;31/10/24;000000;33.875;35.58;33.77;35.06;58254330
RUAL;D;01/11/24;000000;34.655;35.5;34.175;34.94;37372280
RUAL;D;02/11/24;000000;34.905;35.65;34.34;35.365;28957070
RUAL;D;03/11/24;000000;35.465;36.13;35.365;35.9;23756310
RUAL;D;06/11/24;000000;36.09;36.485;35.41;35.595;21235050
RUAL;D;07/11/24;000000;36.28;36.99;35.765;36.185;40863660
RUAL;D;08/11/24;000000;36.185;37.45;35.56;37.41;27714480
RUAL;D;09/11/24;000000;37.475;38.53;37.07;38.31;23754960
RUAL;D;12/11/24;000000;38.59;38.685;37.355;37.83;15510040
RUAL;D;13/11/24;000000;37.855;37.925;37.1;37.15;8972580
RUAL;D;14/11/24;000000;37.07;38.2;36.915;37.605;13783860
RUAL;D;15/11/24;000000;37.605;37.945;36.7;36.91;10709250
RUAL;D;16/11/24;000000;36.895;39.69;36.715;39.65;88441650
RUAL;D;19/11/24;000000;38.945;39.635;38.77;38.985;28379540
RUAL;D;20/11/24;000000;38.99;39.1;38.205;38.455;23454680
RUAL;D;21/11/24;000000;38.515;39.05;37.195;37.795;26336480
RUAL;D;22/11/24;000000;37.81;37.92;36.335;37.37;23174900
RUAL;D;23/11/24;000000;37.4;37.425;36.435;37.11;12156680
RUAL;D;26/11/24;000000;37.06;37.36;33.9;34.14;44707620
RUAL;D;27/11/24;000000;34.125;34.62;33.26;33.885;35089500
RUAL;D;28/11/24;000000;34;35.275;33.35;35.215;31084090
RUAL;D;29/11/24;000000;35.39;35.495;33.92;34.655;15129660
RUAL;D;30/11/24;000000;34.755;35.31;34.475;34.665;11691750
RUAL;D;03/12/24;000000;34.645;36.135;34.475;35.91;20004810
RUAL;D;04/12/24;000000;35.88;35.92;34.875;35.52;13869880
RUAL;D;05/12/24;000000;35.385;35.65;33.295;33.6;21535040
RUAL;D;06/12/24;000000;33.49;34.255;31.95;33.975;36739700
RUAL;D;07/12/24;000000;34.03;34.225;32.265;32.895;32995330
RUAL;D;10/12/24;000000;33.135;33.46;32.51;33.115;13768900
RUAL;D;11/12/24;000000;33.025;33.105;32.13;32.19;16721890
RUAL;D;12/12/24;000000;32.18;32.46;31.535;31.9;14524680
